track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,artist_image_url,album_image_url,artist_image_url_valid,album_image_url_valid
Ch y la Pizza,"Fuerza Regida, Natanael Cano",2,2022,12,1,536,10,288101651,10,72,8,3,14,149,G#,Major,66,85,60,40,0,14,13,,https://i.scdn.co/image/ab67616d0000b27334eadce9dc59ab4a32793b5a,False,True
Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey, Taylor Swift",2,2023,5,26,359,2,60350538,1,0,9,0,0,110,F#,Minor,66,32,40,81,0,11,3,,,False,False
Players,Coi Leray,1,2022,11,30,4096,6,335074782,118,48,143,0,240,105,F#,Major,95,62,52,3,0,5,16,https://i.scdn.co/image/ab6761610000e5ebbdbcba958fc868965d84a632,https://i.scdn.co/image/ab67616d0000b2735626453d29a0124dea22fb1b,True,True
Bite Me,ENHYPEN,1,2023,5,22,349,69,76767396,8,96,5,0,56,105,C#,Major,80,69,78,28,0,11,14,https://i.scdn.co/image/ab6761610000e5eb8665a74333bb3ca3fde5c06a,,True,False
Stand By Me (feat. Morgan Wallen),"Lil Durk, Morgan Wallen",2,2023,5,26,381,5,46065667,23,82,6,0,113,134,B,Major,76,61,58,6,0,16,3,,,False,False
Normal,Feid,1,2022,7,8,2461,36,459276435,47,66,45,5,6,170,E,Minor,71,59,56,4,0,27,12,https://i.scdn.co/image/ab6761610000e5ebe82c62cc8cf019aecfd71ee8,https://i.scdn.co/image/ab67616d0000b2736ea42f5f6bd2d9e841df3e3e,True,True
Hummingbird (Metro Boomin & James Blake),"James Blake, Metro Boomin",2,2023,6,2,277,1,39666245,1,20,5,0,1,81,F#,Major,59,26,60,46,1,25,13,,,False,False
Seu Brilho Sumiu - Ao Vivo,"Israel & Rodolffo, Mari Fernandez",2,2023,3,1,967,5,138517666,7,29,51,1,29,154,F#,Major,63,75,92,31,0,91,5,,https://i.scdn.co/image/ab67616d0000b27399de1add582e2730cd763249,False,True
Bad Habit,Steve Lacy,1,2022,6,29,8186,12,822633917,155,72,131,16,29,169,C#,Major,69,69,51,63,0,38,4,https://i.scdn.co/image/ab6761610000e5eb09ac9d040c168d4e4f58eb42,https://i.scdn.co/image/ab67616d0000b2739904ecb0b1148a128bdd5e36,True,True
CUFF IT,BeyoncÃ¯Â¿,1,2022,7,29,7842,10,595900742,215,88,330,26,23,115,G,Major,78,64,69,4,0,7,14,,,False,False
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),"Halsey, Suga",2,2023,6,5,215,6,51985779,6,14,8,2,4,84,A,Minor,43,14,74,1,0,19,8,,https://i.scdn.co/image/ab67616d0000b273f19310c007c0fad365b0542e,False,True
69,"Nicky Jam, Feid",2,2023,5,18,1134,22,57945987,39,14,48,2,3,93,G#,Major,79,58,62,11,0,11,23,,https://i.scdn.co/image/ab67616d0000b273ea97d86f1fa8532cd8c75188,False,True
NiÃ¯Â¿Â½Ã¯Â¿Â½a Bo,"Sean Paul, Feid",2,2023,4,21,1305,34,115010040,29,26,43,5,44,91,G,Major,82,47,62,10,0,10,15,,,False,False
Search & Rescue,Drake,1,2023,4,7,2066,6,175097833,58,70,43,0,182,142,A#,Minor,82,54,44,6,0,33,7,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9,https://i.scdn.co/image/ab67616d0000b273cace8a4b2ff924c9e12e3a96,True,True
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Kendrick Lamar, BeyoncÃ¯Â¿",2,2023,5,19,896,0,57089066,34,2,33,0,1,126,C#,Major,78,20,70,1,0,16,4,,,False,False
Lavender Haze,Taylor Swift,1,2022,10,21,3763,8,488386797,51,43,38,10,1,97,A#,Major,73,10,44,26,0,16,8,https://i.scdn.co/image/ab6761610000e5ebe672b5f553298dcdccb0e676,https://i.scdn.co/image/ab67616d0000b273f7c84273e5c8ecb7594b4357,True,True
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","WizKid, Toian, Metro Boomin, Don Toliver, Beam",5,2023,6,2,197,0,32761689,3,10,3,0,0,101,F,Major,92,59,51,41,51,26,8,,,False,False
Efecto,Bad Bunny,1,2022,5,6,4004,33,1047480053,34,65,43,6,2,98,G,Minor,80,23,48,14,0,6,5,https://i.scdn.co/image/ab6761610000e5eb744a4243fb6cc938011a98f4,,True,False
Erro Gostoso - Ao Vivo,Simone Mendes,1,2023,1,27,984,5,153454328,8,57,76,2,49,154,F#,Major,59,63,89,18,0,80,9,https://i.scdn.co/image/ab6761610000e5eb271b30b91ddf9b611f93cba7,,True,False
Cupido,Tini,1,2023,2,14,1240,24,217672943,51,29,63,4,54,120,A,Major,91,63,58,52,0,31,22,https://i.scdn.co/image/ab6761610000e5eba5a88ae3915ac988fc36fba5,https://i.scdn.co/image/ab67616d0000b273f5409c637b9a7244e0c0d11d,True,True
Just Wanna Rock,Lil Uzi Vert,1,2022,10,17,3995,13,457184829,72,27,47,0,0,150,B,Major,49,4,55,7,0,6,3,https://i.scdn.co/image/ab6761610000e5eb1234d2f516796badbdf16a89,https://i.scdn.co/image/ab67616d0000b273438799bc344744c12028bb0f,True,True
Unstoppable,Sia,1,2016,1,21,7681,13,939844851,119,66,"1,145",2,,174,A,Major,47,27,78,11,0,10,8,https://i.scdn.co/image/ab67616d0000b2733e5e82855f1cf77c1659919b,https://i.scdn.co/image/ab67616d0000b27354d428db09edc6dc2c2f8d0c,True,True
Until I Found You,Stephen Sanchez,1,2021,9,1,4427,4,726434358,69,100,154,20,438,202,A#,Major,34,25,51,69,0,18,4,https://i.scdn.co/image/ab6761610000e5eb1e97fce6fa6fc4ebc3ebda25,https://i.scdn.co/image/ab67616d0000b2732bf0876d42b90a8852ad6244,True,True
Rich Flex,"Drake, 21 Savage",2,2022,11,4,4657,18,573633020,84,84,42,0,23,153,B,Minor,56,42,52,5,0,36,24,,,False,False
Easy On Me,Adele,1,2021,10,14,10195,20,1406111294,258,87,657,22,9,142,F,Major,60,13,37,58,0,13,3,https://i.scdn.co/image/ab67616d0000b27308779bde4ae1e4010f9dcf61,https://i.scdn.co/image/ab67616d0000b27350dba34377a595e35f81b0e4,True,True
CartÃ¯Â¿Â½Ã¯Â¿Â½o B,"MC Caverinha, KayBlack",2,2023,5,11,269,4,71573339,7,2,30,1,11,108,A,Minor,84,55,47,26,0,20,64,,,False,False
Danger (Spider) (Offset & JID),"Offset, JID",2,2023,6,2,214,0,24975653,3,3,6,0,0,143,B,Major,83,25,69,4,0,23,12,,,False,False
Oi Balde - Ao Vivo,ZÃ¯Â¿Â½Ã¯Â¿Â½ Neto & Crist,1,2023,2,14,845,2,145458418,12,57,47,1,33,108,D,Major,67,55,67,60,0,80,5,,,False,False
The Real Slim Shady,Eminem,1,2000,1,1,20763,27,1424589568,81,53,"3,271",1,17,104,F,Minor,95,78,66,3,0,4,6,https://i.scdn.co/image/ab6761610000e5eba00b11c129b27a88fc72f36b,,True,False
MERCHO,"Migrantes, LiL CaKe, Nico Valdi",3,2022,12,16,1267,20,231332117,41,22,56,4,84,93,F#,Minor,84,96,79,43,0,18,11,,,False,False
The Color Violet,Tory Lanez,1,2021,12,10,2585,32,415932686,3,79,21,1,54,105,F#,Minor,65,46,53,16,0,9,5,https://i.scdn.co/image/ab6761610000e5ebbd5d3e1b363c3e26710661c3,https://i.scdn.co/image/ab67616d0000b273d8de8d8148b7850cdb5c3e5c,True,True
Glimpse of Us,Joji,1,2022,6,10,6330,6,988515741,109,42,158,3,31,170,G#,Major,44,27,32,89,0,14,5,https://i.scdn.co/image/ab67616d0000b273447745aec94b54fa1f6a0f93,https://i.scdn.co/image/ab67616d0000b27308596cc28b9f5b00bfe08ae7,True,True
Mejor Que Yo,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,5,4,675,1,50847624,9,13,11,0,1,178,C#,Minor,62,56,66,18,0,12,5,,,False,False
Curtains,Ed Sheeran,1,2023,5,5,715,0,39893489,37,3,27,0,50,176,F#,Minor,50,44,76,10,0,32,5,https://i.scdn.co/image/ab6761610000e5eb784daff754ecfe0464ddbeb9,,True,False
UNFORGIVEN (feat. Nile Rodgers),"Nile Rodgers, LE SSERAFIM",2,2023,5,1,327,13,92035115,14,110,9,0,49,104,E,Minor,80,38,88,11,0,11,5,,,False,False
Haegeum,Agust D,1,2023,4,21,244,12,118810253,6,84,10,2,9,85,G,Major,70,83,84,31,0,47,30,https://i.scdn.co/image/ab6761610000e5eb191d43dca6f2f5a126e43e4b,,True,False
ConexÃ¯Â¿Â½Ã¯Â¿Â½es de MÃ¯Â¿Â½Ã¯Â¿Â½fia (feat. Rich ,"Rich The Kid, MatuÃ¯Â¿",2,2023,4,30,385,4,77233241,17,7,41,1,29,117,F#,Minor,77,69,58,39,0,26,5,,,False,False
MIENTRAS ME CURO DEL CORA,Karol G,1,2023,2,24,1020,35,206399629,15,26,30,6,0,80,,Major,52,57,48,86,0,15,39,https://i.scdn.co/image/ab6761610000e5eb4b0754aefc9db490e02205ec,,True,False
Never Felt So Alone,Labrinth,1,2023,4,7,1730,3,117747907,46,5,51,0,20,98,F,Major,44,36,41,50,0,38,5,https://i.scdn.co/image/ab6761610000e5eb7885d725841e0338092f5f6f,https://i.scdn.co/image/ab67616d0000b2737dda6cb97a57f116f6fbf0be,True,True
X SI VOLVEMOS,"Karol G, Romeo Santos",2,2023,2,2,2127,33,266624541,45,80,53,8,4,178,C#,Minor,79,58,78,34,0,11,25,,https://i.scdn.co/image/ab67616d0000b273a1e30a6e8323b8c2d2d1fa53,False,True
ceilings,Lizzy McAlpine,1,2022,4,8,3242,9,293186992,67,55,48,0,6,148,A,Major,51,27,33,48,0,22,3,https://i.scdn.co/image/ab6761610000e5eb047494355f49310b5b7e5f2b,,True,False
Cupid,Fifty Fifty,1,2023,2,24,526,10,139681964,15,93,30,0,320,120,D,Major,77,94,66,65,0,38,3,https://i.scdn.co/image/ab6761610000e5ebf5b576e445d9bb5862084db2,https://i.scdn.co/image/ab67616d0000b27372d259f38876162373275ed6,True,True
I AM,IVE,1,2023,4,10,366,15,123132751,16,102,7,0,55,122,E,Minor,68,38,88,1,0,8,5,https://i.scdn.co/image/0078316432cdfb6733c3bde0dc61754d45442d0f,https://i.scdn.co/image/ab67616d0000b273d8b6254f637e1611bf34e8e2,True,True
Cupid Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½ Twin Ver. (FIFTY FIFTY) Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½ Spe,sped up 8282,1,1997,1,1,472,2,103762518,0,0,6,0,0,144,F,Major,74,75,73,42,0,9,4,https://i.scdn.co/image/ab67616d0000b2734f346a1ca8e29469d601414a,,True,False
Shorty Party,"Cartel De Santa, La Kelly",2,2023,3,4,432,12,162887075,8,14,12,2,33,96,D,Major,93,47,47,33,0,10,36,,,False,False
Super,SEVENTEEN,1,2023,4,24,271,12,91221625,16,103,9,0,55,137,G#,Major,77,35,88,16,0,17,9,https://i.scdn.co/image/ab6761610000e5eb9b445a3abb3dda380ec07243,https://i.scdn.co/image/ab67616d0000b27346c347ba038cd60562c3dd8d,True,True
Slut Me Out,NLE Choppa,1,2022,4,22,816,4,190490915,21,4,13,0,4,121,F#,Minor,94,71,61,12,0,53,42,https://i.scdn.co/image/ab6761610000e5ebe2c985e8509fc8788a5a5208,https://i.scdn.co/image/ab67616d0000b273ff482f77da90b04d4f54c738,True,True
Double Fantasy (with Future),"The Weeknd, Future",2,2023,4,21,1169,0,96180277,36,65,28,0,0,119,A,Minor,60,10,57,1,0,50,3,,,False,False
All Of The Girls You Loved Before,Taylor Swift,1,2019,8,23,1282,6,185240616,26,6,19,0,5,96,D,Major,72,40,47,71,0,13,4,https://i.scdn.co/image/ab6761610000e5ebe672b5f553298dcdccb0e676,https://i.scdn.co/image/ab67616d0000b2738481d8f15859aa5bae75ee17,True,True
PROVENZA,Karol G,1,2022,4,21,6587,34,885093467,114,104,147,11,20,111,C#,Major,87,53,52,66,1,11,5,https://i.scdn.co/image/ab6761610000e5eb4b0754aefc9db490e02205ec,https://i.scdn.co/image/ab67616d0000b273e70c454b8989f09d1e11ea92,True,True
Princess Diana (with Nicki Minaj),"Nicki Minaj, Ice Spice",2,2023,4,14,1444,4,104992946,0,0,0,0,0,148,A,Major,90,74,68,14,0,10,19,,,False,False
Di Que Si,"Grupo Marca Registrada, Grupo Frontera",2,2023,2,3,356,10,147290338,4,64,4,2,37,182,A,Major,57,80,59,8,0,6,5,,https://i.scdn.co/image/ab67616d0000b273aab35973ece2916fb24244fe,False,True
Shivers,Ed Sheeran,1,2021,9,9,10147,30,1302184087,234,71,543,18,,141,D,Major,79,82,86,28,0,4,9,https://i.scdn.co/image/ab6761610000e5eb784daff754ecfe0464ddbeb9,https://i.scdn.co/image/ab67616d0000b2735ed5b10c3ebdb3af7208cc93,True,True
Igualito a Mi ApÃ¯Â¿,"Fuerza Regida, Peso Pluma",2,2022,12,30,265,6,158950978,8,84,5,1,4,145,E,Minor,76,80,81,19,0,6,9,,,False,False
Shoong! (feat. LISA of BLACKPINK),"TAEYANG, Lisa",2,2023,4,25,351,9,76910644,16,90,10,0,64,110,B,Minor,76,26,70,1,0,41,6,,,False,False
Komang,Raim Laode,1,2022,8,16,158,4,137123880,5,6,1,1,18,134,G,Major,70,35,41,41,0,10,3,https://i.scdn.co/image/ab6761610000e5ebc97ccd38c2bfa905e32cad0a,https://i.scdn.co/image/ab67616d0000b2735733fcb8f308e4bca3d3a1c9,True,True
DESPECHÃ¯Â¿,ROSALÃ¯Â¿Â½,1,2022,7,28,7613,33,782369383,180,90,422,15,55,130,G,Major,92,78,62,18,0,6,10,,,False,False
Made You Look,Meghan Trainor,1,2022,10,21,3956,6,502574952,142,23,127,3,16,145,A#,Major,84,88,53,35,0,8,7,https://i.scdn.co/image/ab6761610000e5eb365984489dac7a79eac204e3,https://i.scdn.co/image/ab67616d0000b273d5d5896f7fb3f3a04de97615,True,True
Watch This - ARIZONATEARS Pluggnb Remix,"sped up nightcore, ARIZONATEARS, Lil Uzi Vert",3,2023,2,5,1638,10,207033255,0,0,21,0,0,130,B,Minor,69,36,90,1,10,15,4,,,False,False
No Se Va,Grupo Frontera,1,2022,4,28,924,18,404887295,17,80,22,9,38,173,,Major,59,69,53,12,0,23,3,https://i.scdn.co/image/ab6761610000e5eb3f244d61f287932d5c958fea,https://i.scdn.co/image/ab67616d0000b273042b5cc9a1a0a97cfc005ee8,True,True
Punto G,Quevedo,1,2022,11,4,1985,35,381161027,34,26,37,5,1,92,B,Minor,75,55,76,25,0,10,15,https://i.scdn.co/image/ab6761610000e5eb6bb5ca52323ab20a1bd5db9c,https://i.scdn.co/image/ab67616d0000b2736cb5d045d3dbe6dd32776569,True,True
Lovers Rock,TV Girl,1,2014,6,5,6339,13,466231982,3,1,36,1,37,105,F,Minor,56,57,87,0,1,10,4,https://i.scdn.co/image/ab67616d0000b27332f5fec7a879ed6ef28f0dfd,,True,False
METAMORPHOSIS,INTERWORLD,1,2021,11,25,1561,24,357580552,18,78,24,0,30,175,G,Minor,59,15,64,43,90,12,10,https://i.scdn.co/image/ab6761610000e5eb4ba846e4a963c8558471e3af,https://i.scdn.co/image/ab67616d0000b273b852a616ae3a49a1f6b0f16e,True,True
Mami Chula,"Quevedo, Jhayco",2,2023,4,27,875,4,61105704,17,13,27,0,43,120,G,Minor,80,33,70,22,0,9,4,,,False,False
En Paris,"El Chachito, Junior H",2,2022,12,24,406,5,198275403,3,31,2,1,0,139,D#,Minor,70,77,48,37,0,12,5,,https://i.scdn.co/image/ab67616d0000b27354c372ef8e7b53bb3c932ac5,False,True
Set Me Free Pt.2,Jimin,1,2023,3,17,340,13,168448603,4,71,16,1,9,132,,Minor,59,56,82,12,0,12,6,https://i.scdn.co/image/ab6761610000e5ebcb08296cca5a2d197caabb79,https://i.scdn.co/image/ab67616d0000b2734f4ec2c2a865569bd4a067a4,True,True
I Was Never There,"The Weeknd, Gesaffelstein",2,2018,3,29,4188,15,705469769,30,70,142,0,27,114,A#,Major,32,17,74,14,0,17,3,,,False,False
Don't ever say love me (feat. RM of BTS),"RM, Colde",2,2023,5,4,105,0,34502215,5,9,5,0,0,145,B,Minor,54,19,48,36,0,37,5,,,False,False
Shut Down,BLACKPINK,1,2022,9,16,1524,17,482175240,53,120,62,0,2,110,,Major,82,67,69,0,0,18,4,https://i.scdn.co/image/ab6761610000e5ebc9690bc711d04b3d4fd4b87c,,True,False
Gato de Noche,"Nengo Flow, Bad Bunny",2,2022,12,22,2651,30,304118600,21,55,32,3,0,94,G#,Major,89,61,66,17,0,36,16,,https://i.scdn.co/image/ab67616d0000b273ed132404686f567c8f793058,False,True
Call Out My Name,The Weeknd,1,2018,3,29,11087,6,1449799467,151,107,801,1,105,134,C#,Major,45,17,60,21,0,33,4,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae,,True,False
Like Crazy (English Version),Jimin,1,2023,3,24,373,19,173627354,4,72,5,0,5,120,G,Major,62,32,76,0,0,39,4,https://i.scdn.co/image/ab6761610000e5ebcb08296cca5a2d197caabb79,,True,False
Rosa Pastel,"Jasiel NuÃ¯Â¿Â½Ã¯Â¿Â½ez, Peso P",2,2023,2,2,200,4,90025258,8,77,2,1,1,123,G,Minor,70,86,68,24,0,11,4,,,False,False
Sunroof,"Nicky Youre, Dazy",2,2021,12,3,3741,17,652704649,156,35,110,19,0,131,A#,Major,77,84,71,35,0,15,4,,https://i.scdn.co/image/ab67616d0000b273a438a2e6c1a5c7005d667a56,False,True
Lose Yourself - Soundtrack Version,Eminem,1,2002,1,1,32502,21,1829992958,247,54,"5,567",1,51,171,D,Major,70,6,73,1,0,36,26,https://i.scdn.co/image/ab6761610000e5eba00b11c129b27a88fc72f36b,,True,False
Superman,"Eminem, Dina Rae",2,2002,5,26,7615,14,655466831,18,51,"1,005",0,0,130,E,Minor,80,64,76,2,0,20,6,,,False,False
Mas Rica Que Ayer,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,3,2,1208,34,146409671,10,41,20,0,1,94,B,Major,82,53,67,34,0,9,8,,,False,False
People Pt.2 (feat. IU),"IU, Agust D",2,2023,4,7,209,4,95816024,4,45,11,2,24,89,G,Minor,73,44,57,39,0,32,6,,,False,False
REMIX EXCLUSIVO,Feid,1,2023,3,17,1235,9,117206995,20,8,15,0,6,87,F,Minor,65,71,56,4,0,15,20,https://i.scdn.co/image/ab6761610000e5ebe82c62cc8cf019aecfd71ee8,https://i.scdn.co/image/ab67616d0000b2733ad20e909064bc0bc7152643,True,True
"ArcÃ¯Â¿Â½Ã¯Â¿Â½ngel: Bzrp Music Sessions, Vol","Arcangel, Bizarrap",2,2023,3,22,654,3,100409613,11,3,18,1,1,124,B,Minor,72,79,78,55,0,15,30,,,False,False
DOGTOOTH,"Tyler, The Creator",2,2023,3,27,1479,0,80758350,23,0,18,0,33,78,G#,Major,71,80,65,51,0,22,32,https://i.scdn.co/image/ab6761610000e5eb8278b782cbb5a3963db88ada,,True,False
10:35,"TiÃ¯Â¿Â½Ã¯Â¿Â½sto, Tate M",2,2022,11,1,4942,26,325592432,190,104,147,18,63,120,G#,Major,70,70,79,7,0,18,10,,,False,False
SORRY NOT SORRY,"Tyler, The Creator",2,2023,3,31,709,0,58473276,8,1,13,0,0,96,F#,Minor,48,50,80,40,0,37,20,https://i.scdn.co/image/ab6761610000e5eb8278b782cbb5a3963db88ada,,True,False
HAPPY,NF,1,2023,3,25,660,0,52722996,22,7,11,0,78,106,G,Major,73,22,86,31,0,12,4,https://i.scdn.co/image/ab67616d0000b273224e3de975885230a45ca8d4,https://i.scdn.co/image/ab67616d0000b273347cc40922d01465d92da8d6,True,True
La Bebe,Yng Lvcas,1,2021,12,24,489,17,191945597,4,11,5,1,2,170,D,Minor,78,75,46,62,0,12,35,https://i.scdn.co/image/ab6761610000e5eb3df5eb47e5d93bd2ca536a5a,https://i.scdn.co/image/ab67616d0000b273a04be3ad7c8c67f4109111a9,True,True
I Know - PR1SVX Edit,"Kanii, PR1ISVX",2,2023,3,24,407,0,77377503,16,15,5,0,1,134,B,Minor,67,11,76,8,47,30,7,,https://i.scdn.co/image/ab67616d0000b273efae10889cd442784f3acd3d,False,True
Late Night Talking,Harry Styles,1,2022,5,20,7461,8,743693613,166,42,199,16,58,115,A#,Major,71,90,73,30,0,11,5,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb,,True,False
LeÃ¯Â¿Â½,MarÃ¯Â¿Â½Ã¯Â¿Â½lia Mendo,1,2022,12,9,993,4,267789608,30,84,88,1,28,130,F#,Major,74,79,87,45,0,30,3,,,False,False
Save Your Tears (with Ariana Grande) (Remix),"Ariana Grande, The Weeknd",2,2020,3,20,9161,5,1221813483,240,98,468,3,10,118,,Major,65,63,79,3,0,10,3,,,False,False
Something in the Orange,Zach Bryan,1,2022,4,22,3282,12,449701773,67,84,46,16,117,110,G,Major,59,22,38,42,0,12,3,https://i.scdn.co/image/ab6761610000e5eb4fd54df35bfcfa0fc9fc2da7,https://i.scdn.co/image/ab67616d0000b273b2b6670e3aca9bcd55fbabbb,True,True
VOID,Melanie Martinez,1,2023,3,29,596,0,67070410,29,9,12,0,52,100,A,Major,72,42,66,18,4,19,4,https://i.scdn.co/image/ab6761610000e5eb77ecd63aaebe2225b07c89f0,https://i.scdn.co/image/ab67616d0000b273d4447244559233bc659dc7bc,True,True
Dijeron Que No La Iba Lograr,"Fuerza Regida, Chino Pacas",2,2023,3,14,320,6,116334601,5,48,2,1,9,142,G,Minor,70,76,79,26,0,11,7,,,False,False
Midnight Rain,Taylor Swift,1,2022,10,21,2612,4,433356509,19,29,21,0,0,140,,Major,64,18,37,72,0,12,7,https://i.scdn.co/image/ab6761610000e5ebe672b5f553298dcdccb0e676,https://i.scdn.co/image/ab67616d0000b2737e3a27b3ac512860386631c0,True,True
If We Ever Broke Up,Mae Stephens,1,2023,2,10,2040,4,165584767,81,27,66,9,444,116,G,Major,90,96,73,62,0,9,4,https://i.scdn.co/image/ab6761610000e5eb4b19040d639a7320fe58df89,https://i.scdn.co/image/ab67616d0000b2731fc63c898797e3dbf04ad611,True,True
You Proof,Morgan Wallen,1,2022,5,13,2128,9,367814306,37,88,9,0,14,120,A,Major,73,64,85,25,0,61,3,https://i.scdn.co/image/ab6761610000e5ebcdb9694bfa4a026ee19426ae,https://i.scdn.co/image/ab67616d0000b273c4680d109471da6809bbc79f,True,True
LA INOCENTE,"Feid, Mora",2,2022,4,1,2598,37,477033549,28,57,43,8,85,92,F,Minor,76,46,79,31,0,7,6,,,False,False
Malas Decisiones,Kenia OS,1,2022,10,26,542,2,156214700,23,2,21,0,0,110,G#,Minor,81,64,79,5,0,31,3,https://i.scdn.co/image/ab6761610000e5ebdcb3728154b37101ca529ad7,,True,False
Murder In My Mind,Kordhell,1,2022,1,21,2459,20,448843705,20,68,50,0,22,120,A#,Major,71,57,97,1,0,13,11,https://i.scdn.co/image/ab6761610000e5eb2cf946cd6eb7d0e70bb6de8d,https://i.scdn.co/image/ab67616d0000b2731440ffaa43c53d65719e0150,True,True
Gangsta's Paradise,"Coolio, L.V.",2,1995,7,11,10624,17,1357608774,21,0,386,0,,80,G#,Major,63,40,61,9,0,56,6,,,False,False
CAIRO,"Karol G, Ovy On The Drums",2,2022,11,13,2418,26,294352144,52,66,55,1,16,115,F,Minor,95,43,69,47,0,9,31,,https://i.scdn.co/image/ab67616d0000b2731068a681551526e045f4dc0d,False,True
I Love You So,The Walters,1,2014,11,28,7536,7,972164968,44,19,135,0,6,76,A#,Major,58,46,67,65,0,13,4,https://i.scdn.co/image/ab6761610000e5eb6c4366f40ea49c1318707f97,https://i.scdn.co/image/ab67616d0000b2739214ff0109a0e062f8a6cf0f,True,True
Dark Red,Steve Lacy,1,2017,2,20,10431,7,920045682,71,53,181,0,10,172,F#,Major,60,77,78,45,0,12,6,https://i.scdn.co/image/ab6761610000e5eb09ac9d040c168d4e4f58eb42,https://i.scdn.co/image/ab67616d0000b2733d2dfa42f771cd458b194979,True,True
Say You Won't Let Go,James Arthur,1,2016,9,9,15722,16,2420461338,231,37,"1,509",0,13,99,A#,Major,40,45,56,69,0,9,5,https://i.scdn.co/image/ab6761610000e5eb2a0c6d0343c82be9dd6fce0b,https://i.scdn.co/image/ab67616d0000b2731de3cbdb04e475e61acbc33d,True,True
The Hills,The Weeknd,1,2015,5,27,25744,4,1947371785,122,94,"1,992",0,18,136,,Minor,36,12,57,9,0,14,8,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae,https://i.scdn.co/image/ab67616d0000b2738e6184189c5e099f5c546500,True,True
Heart To Heart,Mac DeMarco,1,2019,5,10,1640,0,244658767,27,27,29,1,1,150,G#,Minor,90,64,14,67,35,11,10,https://i.scdn.co/image/ab6761610000e5eb3cef7752073cbbd2cc04c6f0,,True,False
Peaches (from The Super Mario Bros. Movie),Jack Black,1,2023,4,7,34,0,68216992,0,0,0,0,0,92,A#,Minor,71,41,31,79,0,10,5,https://i.scdn.co/image/ab6761610000e5eb347480275d867bdc3a32e5ae,https://i.scdn.co/image/ab67616d0000b2738a1c2bb9edddd3449bdbc8a5,True,True
Marisola - Remix,"Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile",5,2022,12,15,1845,16,223582566,20,8,30,2,0,95,C#,Major,77,72,87,17,0,7,5,,,False,False
LOKERA,"Brray, Rauw Alejandro, Lyanno",3,2022,7,25,3301,30,471819764,72,64,64,6,3,102,B,Minor,83,58,83,21,0,10,5,,,False,False
Low,SZA,1,2022,12,9,1911,0,272377463,23,71,14,0,9,145,,Minor,70,34,55,43,0,16,6,https://i.scdn.co/image/ab67616d0000b2733e5e82855f1cf77c1659919b,,True,False
Numb,Linkin Park,1,2003,3,24,20111,5,1361425037,39,0,"7,341",0,0,110,A,Major,50,24,86,0,0,64,4,https://i.scdn.co/image/ab6761610000e5ebc7e6bd9e65eab62a53355576,,True,False
Tormenta (feat. Bad Bunny),"Gorillaz, Bad Bunny",2,2023,2,24,1529,0,149778242,32,18,39,2,0,95,,Major,64,30,77,46,0,38,6,,,False,False
on the street (with J. Cole),"j-hope, J. Cole",2,2023,3,3,615,2,116599790,22,82,8,0,9,94,B,Minor,68,81,82,53,0,9,13,,https://i.scdn.co/image/ab67616d0000b2735e8286ff63f7efce1881a02b,False,True
One Thing At A Time,Morgan Wallen,1,2022,12,2,811,4,148469433,11,58,5,0,21,142,G,Major,61,92,91,0,0,26,3,https://i.scdn.co/image/ab6761610000e5ebcdb9694bfa4a026ee19426ae,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9,True,True
Miss You,"Robin Schulz, Oliver Tree",2,2022,8,5,5730,10,497225336,108,16,197,3,165,145,F#,Minor,59,20,74,1,0,15,5,,,False,False
AinÃ¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½t Tha,Morgan Wallen,1,2023,3,3,356,4,88791109,4,20,0,0,0,121,F#,Minor,64,67,80,0,0,36,3,https://i.scdn.co/image/ab6761610000e5ebcdb9694bfa4a026ee19426ae,,True,False
ThinkinÃ¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½ B,Morgan Wallen,1,2023,3,3,604,6,125917280,22,101,0,0,66,140,D#,Minor,66,43,76,49,0,12,3,https://i.scdn.co/image/ab6761610000e5ebcdb9694bfa4a026ee19426ae,,True,False
